"time{s}","ModulatedVoltageSource\p_high.u{V}","Inertia\p2.omega{rad/s}"
1.00000039765328,24,8.46719269976755e-010
1.00000050824642,24,1.74207461563245e-009
1.00000061883956,24,3.10817393732061e-009
1.0000007294327,24,5.03842168742821e-009
1.00000084002585,24,7.62915683623655e-009
1.00000106121213,24,1.51324179126993e-008
1.00000128239842,24,2.63704482452696e-008
1.0000015035847,24,4.21215490194011e-008
1.00000194595727,24,9.00194143805321e-008
1.00000234409259,24,1.55683751853668e-007
1.0000027422279,24,2.46771357828582e-007
1.00000314036321,24,3.67035935438441e-007
1.00000353849853,24,5.20081164465693e-007
1.00000393663384,24,7.09368651052106e-007
1.00000473290447,24,1.20988554485687e-006
1.0000055291751,24,1.89365244313979e-006
1.00000632544572,24,2.78365689488179e-006
1.00000712171635,24,3.90108658223603e-006
1.00000791798698,24,5.26556113235901e-006
1.00000871425761,24,6.89520302770401e-006
1.00001030679886,24,1.10151156792624e-005
1.00001189934012,24,1.63780339240664e-005
1.00001333262725,24,2.23490432608401e-005
1.00001476591438,24,2.94676865335993e-005
1.00001619920151,24,3.77859130285018e-005
1.00001763248864,24,4.73478397644452e-005
1.00001906577577,24,5.81907366231085e-005
1.0000204990629,24,7.03459152229982e-005
1.00002193235002,24,8.38394072704575e-005
1.00002336563715,24,9.86928448154428e-005
1.00002479892428,24,0.000114923967087785
1.00002623221141,24,0.000132547117125795
1.00002909878567,24,0.000172011997674541
1.00003167870251,24,0.000212378764273498
1.00003425861934,24,0.000257363124164188
1.00003683853617,24,0.000306971893797231
1.00003941845301,24,0.00036119877166174
1.00004199836984,24,0.000420027868340267
1.00004457828667,24,0.000483436957737264
1.00004715820351,24,0.00055139876238971
1.00004973812034,24,0.000623880762160995
1.00005231803717,24,0.000700846103467826
1.00005489795401,24,0.000782256277857258
1.00005747787084,24,0.000868072727908082
1.00006005778767,24,0.000958254896402246
1.00006263770451,24,0.00105276003312828
1.00006521762134,24,0.0011515446606133
1.00006779753817,24,0.00125456596992077
1.00007037745501,24,0.00136178169645466
1.00007295737184,24,0.00147314903283856
1.00007553728867,24,0.00158862427247542
1.00007811720551,24,0.00170816373701589
1.00008069712234,24,0.00183172521344296
1.00008327703917,24,0.00195926639512827
1.000085856956,24,0.0020907451317425
1.00008843687284,24,0.00222611958395948
1.0000935967065,24,0.0025083908392789
1.00009875654017,24,0.00280575298719996
1.00010391637384,24,0.00311788501647453
1.0001090762075,24,0.00344447244379445
1.00011423604117,24,0.00378520733031133
1.00011939587484,24,0.00413978742490476
1.0001245557085,24,0.0045079177596376
1.00013487537584,24,0.00528367957187369
1.00014519504317,24,0.00611025649477577
1.0001555147105,24,0.00698550480769676
1.00016583437783,24,0.00790736975768522
1.0001864737125,24,0.00988315261383666
1.00020711304717,24,0.0120228311940392
1.00022775238183,24,0.0143128565362176
1.0002483917165,24,0.0167407974539382
